city,district,low,high,raw
深圳,福田区,900,1300,900-1300
深圳,罗湖区,800,1200,800-1200
深圳,南山区,900,1300,900-1300
深圳,龙岗区,700,900,700-900
深圳,龙华区,700,1000,龙华区北部700-800 / 龙华区南部(近福田)800-1000
深圳,光明区,700,900,700-900
深圳,宝安区,700,1100,宝安区机场以南800-1100 / 宝安区机场以北700-800
深圳,坪山区,600,800,600-800
深圳,盐田区,600,800,600-800
深圳,大鹏区,600,800,600-800
东莞,茶山镇,450,600,450-600
东莞,常平镇,450,600,450-600
东莞,大朗镇,450,600,450-600
东莞,大岭山镇,450,600,450-600
东莞,道溶镇,450,600,450-600
东莞,东城街道,550,700,550-700
东莞,东坑镇,450,600,450-600
东莞,凤岗镇,450,600,450-600
东莞,高埗镇,450,600,450-600
东莞,芜城街道,550,700,550-700
东莞,横沥镇,450,600,450-600
东莞,厚街镇,550,700,550-700
东莞,虎门镇,550,700,550-700
东莞,黄江镇,450,600,450-600
东莞,察步镇,450,600,450-600
东莞,南城街道,550,700,550-700
东莞,企石镇,450,600,450-600
东莞,桥头镇,450,600,450-600
东莞,清溪镇,450,600,450-600
东莞,沙田镇,450,600,450-600
东莞,石码镇,450,600,450-600
东莞,石龙镇,450,600,450-600
东莞,石排镇,450,600,450-600
东莞,塘厦镇,450,600,450-600
东莞,万江街道,450,600,450-600
东莞,望牛墩镇,450,600,450-600
东莞,樟木头镇,450,600,450-600
东莞,长安镇,550,700,550-700
东莞,中堂镇,450,600,450-600
东莞,松山湖,550,700,550-700
东莞,滨海湾新区,550,700,550-700
广州,越秀区,900,1200,900-1200
广州,天河区,900,1300,900-1300
广州,海珠区,900,1300,900-1300
广州,荔湾区,700,900,700-900
广州,白云区,600,1000,600-1000
广州,黄埔区,600,1000,600-1000
广州,番禺区,600,900,600-900
广州,南沙区,550,750,550-750
广州,增城区,550,750,550-750
广州,花都区,550,750,550-750
广州,从化区,450,650,450-650
佛山,禅城区,500,700,500-700
佛山,南海区,500,750,500-750
佛山,顺德区,500,750,500-750
佛山,三水区,500,600,500-600
佛山,高明区,500,600,500-600
珠海,香洲区,700,850,700-850
珠海,金湾区,650,800,650-800
珠海,斗门区,650,800,650-800
珠海,高新区,650,800,650-800
珠海,横琴区,650,800,650-800
中山,东区街道,400,600,400-600
中山,翠亨新区,400,600,400-600
中山,南区街道,400,600,400-600
中山,石岐街道,400,600,400-600
中山,火炬区,400,600,400-600
中山,西区街道,400,600,400-600
中山,五桂山街道,400,600,400-600
中山,坦洲镇,400,600,400-600
中山,古镇镇,400,600,400-600
中山,南朗街道,400,600,400-600
中山,三乡镇,400,600,400-600
中山,小榄镇,400,600,400-600
中山,民众街道,400,550,400-550
中山,港口镇,400,550,400-550
中山,沙溪镇,400,550,400-550
中山,横栏镇,400,550,400-550
中山,南头镇,400,550,400-550
中山,东凤镇,400,550,400-550
中山,神湾镇,400,550,400-550
中山,三角镇,400,550,400-550
中山,大涌镇,400,550,400-550
中山,板芙镇,400,550,400-550
中山,黄圃镇,400,550,400-550
中山,阜沙镇,400,550,400-550
惠州,惠城区,350,600,350-600
惠州,惠阳区,350,600,350-600
惠州,惠东县,300,500,300-500
惠州,博罗县,300,500,300-500
惠州,龙门县,300,500,300-500
江门,蓬江区,450,600,450-600
江门,新会区,450,600,450-600
江门,江海区,350,500,350-500
江门,鹤山市,350,500,350-500
江门,台山市,300,450,300-450
江门,开平市,300,450,300-450
汕头,金平区,400,500,400-500（万象城除外，by case分析）
汕头,龙湖区,400,500,400-500（万象城除外，by case分析）
汕头,澄海区,200,400,200-400
汕头,朝阳区,200,400,200-400
湛江,赤坎区,400,550,400-550（核心位置600）
湛江,霞山区,400,500,400-500
湛江,麻章区（miix）,300,400,300-400
茂名,茂南区,300,500,300-500 / （核心位置600）
茂名,电白区,300,500,300-500
潮州,湘桥区,300,500,300-500
潮州,潮安区,200,400,200-400
肇庆,端州区,350,600,350-600
肇庆,四会区,300,500,300-500
肇庆,鼎湖区,300,450,300-450
揭阳,普宁市,300,500,300-500
揭阳,榕城区,300,500,300-500
清远,清城区,250,450,250-450
清远,清新区,250,400,250-400
